iter	Logloss
0	0.6205241149
1	0.5602015457
2	0.510933244
3	0.4679555436
4	0.4311093047
5	0.4004455524
6	0.3743580133
7	0.3508660046
8	0.3305225546
9	0.3132007671
10	0.2983352032
11	0.284949493
12	0.2738098089
13	0.2634697303
14	0.2546367433
15	0.2466816272
16	0.2395493778
17	0.2335703199
18	0.2287496528
19	0.2236587965
20	0.2187033266
21	0.2148462707
22	0.2117415911
23	0.2086863313
24	0.2056023425
25	0.2029442595
26	0.2007236255
27	0.1984134875
28	0.1965679801
29	0.1947940912
30	0.193229142
31	0.191710543
32	0.1903361054
33	0.1890560199
34	0.1878902361
35	0.1869072211
36	0.1859595553
37	0.1843216859
38	0.18359072
39	0.1829677257
40	0.1822862775
41	0.1810527459
42	0.1806490799
43	0.1801639691
44	0.1795618865
45	0.1787736399
46	0.1783472019
47	0.1775484473
48	0.1771216899
49	0.1762487048
50	0.1758553442
51	0.175223478
52	0.1748624118
53	0.1743526477
54	0.1741606499
55	0.1733181067
56	0.1728692142
57	0.1724079735
58	0.172153348
59	0.1719714218
60	0.1716787111
61	0.1711500497
62	0.1707333399
63	0.1706028216
64	0.170469343
65	0.1701168249
66	0.1699815983
67	0.1696649345
68	0.1695582957
69	0.1693599007
70	0.1692047019
71	0.1689744806
72	0.1688109016
73	0.1686048775
74	0.1682389378
75	0.1679756518
76	0.1678296511
77	0.1677282442
78	0.1675548359
79	0.1671140885
80	0.1666991702
81	0.1666115335
82	0.1664496859
83	0.1663484403
84	0.1662363012
85	0.1661299844
86	0.1653189491
87	0.1652690149
88	0.1649276718
89	0.1647457183
90	0.1643231338
91	0.1641311469
92	0.164095664
93	0.1638846331
94	0.1636429255
95	0.1634793782
96	0.1633000158
97	0.1631380267
98	0.1625538832
99	0.1624741347
