iter	Passed	Remaining
0	13	1321
1	17	881
2	22	713
3	26	634
4	31	596
5	35	555
6	39	526
7	44	515
8	49	497
9	54	486
10	58	477
11	63	467
12	68	457
13	72	446
14	77	438
15	81	428
16	86	420
17	90	414
18	95	408
19	100	400
20	104	392
21	109	386
22	113	379
23	117	371
24	121	364
25	126	358
26	130	352
27	134	346
28	138	339
29	143	335
30	148	329
31	152	324
32	157	319
33	161	313
34	166	308
35	170	302
36	174	297
37	178	291
38	182	286
39	187	280
40	191	275
41	195	270
42	200	265
43	204	260
44	208	255
45	212	250
46	217	244
47	222	241
48	227	236
49	231	231
50	235	226
51	240	221
52	244	217
53	248	211
54	253	207
55	257	202
56	262	197
57	266	192
58	270	188
59	274	183
60	278	178
61	283	173
62	287	169
63	291	164
64	295	159
65	300	154
66	305	150
67	309	145
68	313	140
69	317	136
70	321	131
71	326	126
72	329	122
73	334	117
74	339	113
75	343	108
76	347	103
77	351	99
78	355	94
79	359	89
80	364	85
81	368	80
82	372	76
83	375	71
84	379	66
85	383	62
86	386	57
87	390	53
88	394	48
89	398	44
90	402	39
91	406	35
92	409	30
93	414	26
94	417	21
95	421	17
96	425	13
97	428	8
98	433	4
99	436	0
